Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA15	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	molecular	Homo sapiens	male/female	26	106		Brain	ATP2A2 (ATPase, Ca++ transporting, cardiac muscle, slow twitch 2)		equation	Gene Expression Level	0	Microarray	Log	-9.0	0.0001036115385454990000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA16	ATPase, Ca++ transporting, plasma membrane 2	molecular	Homo sapiens	male/female	26	106		Brain	ATP2B2 (ATPase, Ca++ transporting, plasma membrane 2)		equation	Gene Expression Level	0	Microarray	Log	-23.0	2.20263612816059000E-8				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1563	ATPase, Cu++ transporting, alpha polypeptide	molecular	Mus musculus	male/female	2	26		Lung	Atp7a (ATPase, Cu++ transporting, alpha polypeptide)		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0008725600812371980000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA21	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2	molecular	Homo sapiens	male/female	26	106		Brain	ATP6V1G2 (ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2)		equation	Gene Expression Level	0	Microarray	Log	-7.0	4.433988372050480000E-7				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA19	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	molecular	Homo sapiens	male/female	26	106		Brain	ATP6V0D1 (ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1)		equation	Gene Expression Level	0	Microarray	Log	-8.0	0.0003474415621339630000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA20	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	molecular	Homo sapiens	male/female	26	106		Brain	ATP6V1A (ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A)		equation	Gene Expression Level	0	Microarray	Log	-7.0	0.0005569765084292920000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1899	ATPase, Na+/K+ transporting, beta 2 polypeptide	molecular	Mus musculus	male/female	5	30		Anatomical System	Atp1b2 (ATPase, Na+/K+ transporting, beta 2 polypeptide)		equation	Gene Expression Level	20	Microarray	Log2	4.0	0.0001403548730896320000000				2926: Lee et al. (2000) "Gene-expression profile of the ageing brain in mice."  Nat. Genet. 25(3):294-297 (10888876)
DAA2393	ATP-binding cassette; sub-family A member 8 decreases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly decreased methylation level of ABCA8 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	ABCA8 (ATP-binding cassette, sub-family A (ABC1), member 8)			DNA Methylation	None	None	None	-23.4	0.0370000000000000000000000				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA2442	ATP-binding cassette; sub-family A member 8 decreases with age	molecular	Homo sapiens	male/female	21	85	Comparison of DNA methylation showed a significantly decreased methylation level of ABCA8 in bone marrow mesenchymal stem cells obtained from elderly donors (aged 53-85 years old) compared to cells from younger donors (aged 21-50 years old)	Mesenchymal Stem Cell	ABCA8 (ATP-binding cassette, sub-family A (ABC1), member 8)			DNA Methylation	None	None	None	-25.0	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA1572	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	molecular	Mus musculus	male/female	2	26		Lung	Abcc1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 1)		equation	Gene Expression Level	20	Microarray	Log2	2.0	0.0009654087668555850000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1089	ATP/GTP Binding Protein-like 5	molecular	Homo sapiens	male/female	0	102		Cerebellum	AGBL5 (ATP/GTP binding protein-like 5)		percentage	DNA Methylation	0			0.0	5.900000000000000000E-7				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA1090	ATP/GTP Binding Protein-like 5	molecular	Homo sapiens	male/female	0	102		Frontal Lobe	AGBL5 (ATP/GTP binding protein-like 5)		percentage	DNA Methylation	0			0.0	3.50000000000000000E-8				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA1091	ATP/GTP Binding Protein-like 5	molecular	Homo sapiens	male/female	0	102		Pons	AGBL5 (ATP/GTP binding protein-like 5)		percentage	DNA Methylation	0			0.0	3.200000000000000000E-7				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA1092	ATP/GTP Binding Protein-like 5	molecular	Homo sapiens	male/female	0	102		Temporal Lobe	AGBL5 (ATP/GTP binding protein-like 5)		percentage	DNA Methylation	0			0.0	3.70000000000E-14				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA421	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ATP5G1 (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9))		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0000779482749343776000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA530	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ATP5G3 (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9))		equation	Gene Expression Level	0	Microarray	Log	-3.0	0.0002229022182975100000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1726	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	molecular	Mus musculus	male/female	8	24		Muscle	Atp5j2 (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2)		equation	Gene Expression Level	20	Microarray	Log2	-2.0	0.0003695103483456360000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA1727	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	molecular	Mus musculus	male/female	8	24		Muscle	Atp5l (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g)		equation	Gene Expression Level	20	Microarray	Log2	-1.0	0.0007258623583732540000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA17	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	molecular	Homo sapiens	male/female	26	106		Brain	ATP5A1 (ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle)		equation	Gene Expression Level	0	Microarray	Log	-17.0	0.0000919941979453846000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA18	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	molecular	Homo sapiens	male/female	26	106		Brain	ATP5B (ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide)		equation	Gene Expression Level	0	Microarray	Log	-9.0	0.0007334276457460190000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA333	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ATP5C1 (ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1)		equation	Gene Expression Level	0	Microarray	Log	-2.0	0.0004104774215210580000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA327	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ATP5O (ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit)		equation	Gene Expression Level	0	Microarray	Log	-2.0	0.0007974973370388270000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA299	ATP synthase mitochondrial F1 complex assembly factor 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ATPAF1 (ATP synthase mitochondrial F1 complex assembly factor 1)		equation	Gene Expression Level	0	Microarray	Log	-2.0	0.0001768263330664980000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA2082	AT rich interactive domain 1A (SWI-like) increases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) increase in the expression of ARID1A in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ARID1A (AT rich interactive domain 1A (SWI-like))			Gene Expression Level	None	None	None	51.0	0.0012300000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA2083	AT rich interactive domain 1A (SWI-like) increases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) increase in the expression of ARID1A in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ARID1A (AT rich interactive domain 1A (SWI-like))			Gene Expression Level	None	None	None	103.0	0.0066800000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA845	Atrophy of all four layers of large intestine	physiological	Homo sapiens	male/female	-1	-1	With age there is an atrophy of all four layers of the large intestine.	Large Intestine												DAA846,DAA847	2655: Whitbourne, S. K. (1985) "The Aging Body: Physiological Changes and Psychological Consequences" 
DAA1001	Atrophy of hypodermal layer	physiological	Homo sapiens	male/female	-1	-1	Ageing-related atrophy of hypodermal layer. However, this is a regional change, usually affecting the face and back of hands and not waist/thighs.	Subcutaneous												DAA1002	2890: Arking, R. (2006) "Biology of Aging: Observations and Principles" 143
DAA839	Atrophy of mucosal lining in small intestine	physiological	Homo sapiens	male/female	-1	-1	Atrophy of mucosal lining in small intestine is observed with age.	Small Intestine												DAA840	2655: Whitbourne, S. K. (1985) "The Aging Body: Physiological Changes and Psychological Consequences" 
DAA2051	Attenuated vasoconstriction response to cold	physiological	Homo sapiens	male/female	-1	-1	With advanced age, there is an attenuated vasoconstriction response during cold exposure in both peripheral and non-acral skin. This appears to be true even when fitness, body size and composition are taken into account. 	Skin												DAA2050	2777: Collins et al. (1977) "Accidental hypothermia and impaired temperature homoeostasis in the elderly."  Br Med J 1(6057):353-356 (837095)
DAA1264	aurora kinase C	molecular	Mus musculus	male/female	5	22		Brain	Aurkc (aurora kinase C)		equation	Gene Expression Level	20	Microarray	Log2	-65.0	0.0009697999314219240000000				2765: Godbout et al. (2005) "Exaggerated neuroinflammation and sickness behavior in aged mice following activation of the peripheral innate immune system."  FASEB J. 19(10):1329-1331 (15919760)|2833: NCBI GEO Dataset (2005) "Age effect on lipopolysaccharide-induced neuroinflammation and sickness behavior"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS1311)
DAA871	Autophagosome formation is decreased	physiological	Homo sapiens	male/female	-1	-1		Whole Body		Cellular										DAA870	2800: Martinez-Vicente et al. (2005) "Protein degradation and aging."  Exp. Gerontol. 40(8-9):622-633 (16125351)
DAA1725	autophagy-related 12 (yeast)	molecular	Mus musculus	male/female	8	24		Muscle	Atg12 (autophagy-related 12 (yeast))		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0005401593974286560000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA1513	autophagy-related 5 (yeast)	molecular	Mus musculus	male/female	6	22		Liver	Atg5 (autophagy-related 5 (yeast))		equation	Gene Expression Level	20	Microarray	Log2	-7.0	0.0000155516749180120000000				1334: Papaconstantinou et al. (2005) "Hepatic gene and protein expression of primary components of the IGF-I axis in long lived Snell dwarf mice."  Mech. Ageing Dev. 126(6-7):692-704 (15888324)|2981: NCBI GEO Dataset (2005) "Age effect on livers of long-lived Snell dwarf mutants"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2019)
DAA727	Axon loss	physiological	Homo sapiens	male/female	20	79	Diffusion tensor imaging suggests that the cerebral white matter exhibits age-related degenerative changes such as loss of axons. Lambda1 corresponds to the diffusivity in the long axis of the diffusion ellipsoid. The loss of axons may be prominently reflected by the decrease of Lambda1.	White Matter													2769: Wang et al. (2010) "Normal aging in the basal ganglia evaluated by eigenvalues of diffusion tensor imaging."  AJNR Am J Neuroradiol 31(3):516-520 (19892817)
DAA1397	baculoviral IAP repeat-containing 6	molecular	Mus musculus	male/female	2	15		Hippocampus	Birc6 (baculoviral IAP repeat-containing 6)		equation	Gene Expression Level	20	Microarray	Log2	2.0	0.0006834202485529710000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA2023	Basal heat production decreases	physiological	Homo sapiens	male	40	90	Experiments on males between the ages of 40 and 90 years showed that the basal metabolism changes with age. Although the calculated surface area of individuals diminishes slightly with increasing age, the basal heat production, or oxygen uptake, falls at an even greater rate so that basal metabolism per unit of surface area shows a gradual decline.	Whole Body													2811: SHOCK (1956) "Some physiological aspects of aging in man."  Bull N Y Acad Med 32(4):268-283 (13304552)
DAA2025	Basal oxygen uptake per kilogram of body water unchanged	physiological	Homo sapiens	male	20	90	The basal oxygen uptake per kilogram of body water, did not change significantly with age.	Whole Body													2811: SHOCK (1956) "Some physiological aspects of aging in man."  Bull N Y Acad Med 32(4):268-283 (13304552)
DAA895	Basement membranes of glomeruli and tubules thicken	physiological	Homo sapiens	male/female	-1	-1	Basement membranes of glomeruli and tubules thicken with age.	Renal Tubule, Glomerulus													2807: McLachlan (1978) "The ageing kidney."  Lancet 2(8081):143-145 (78337)|2898: Darmady et al. (1973) "The parameters of the ageing kidney."  J. Pathol. 109(3):195-207 (4719771)
DAA24	B-cell CLL/lymphoma 11A (zinc finger protein)	molecular	Homo sapiens	male/female	26	106		Brain	BCL11A (B-cell CLL/lymphoma 11A (zinc finger protein))		equation	Gene Expression Level	0	Microarray	Log	-14.0	0.0000644835377938703000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1340	B-cell leukemia/lymphoma 3	molecular	Mus musculus	male/female	3	23		Hematological System	Bcl3 (B-cell leukemia/lymphoma 3)		equation	Gene Expression Level	20	Microarray	Log2	25.0	0.0007426019522977970000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA1851	B-cell receptor-associated protein 31	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Bcap31 (B-cell receptor-associated protein 31)		equation	Gene Expression Level	20	Microarray	Log2	4.0	0.0002645876779455920000000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA941	B cells' response to dendritic cell stimulation decreases	physiological	Homo sapiens	male/female	-1	-1		B Cell													2718: Weiskopf et al. (2009) "The aging of the immune system."  Transpl. Int. 22(11):1041-1050 (19624493)
DAA509	BCL2-associated athanogene 2	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	BAG2 (BCL2-associated athanogene 2)		equation	Gene Expression Level	0	Microarray	Log	-3.0	0.0000633553571857611000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA354	BCS1-like (yeast)	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	BCS1L (BCS1-like (yeast))		equation	Gene Expression Level	0	Microarray	Log	-3.0	0.0001833832996291340000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1645	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	molecular	Mus musculus	male/female	2	26		Lung	Bdp1 (B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB)		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0001602975824620240000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA2586	Benign prostatic hyperplasia	physiological	Homo sapiens	male/female	30	-1	Benign prostatic hyperplasia, an increase in size of the prostate, is common with age with an incidence raising from 8% in the fourth decade to 50% in the fifth decade of life. Possibly prostate growth is initiated before the patient is 30 years of age with growth slowing down with age.	Prostate													3001: Berry et al. (1984) "The development of human benign prostatic hyperplasia with age."  J. Urol. 132(3):474-479 (6206240)
DAA23	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	molecular	Homo sapiens	male/female	26	106		Brain	B3GALNT1 (beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group))		equation	Gene Expression Level	0	Microarray	Log	-22.0	0.0001562978451978300000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1303	beta-1,4-N-acetyl-galactosaminyl transferase 4	molecular	Mus musculus	male/female	3	23		Hematological System	B4galnt4 (beta-1,4-N-acetyl-galactosaminyl transferase 4)		equation	Gene Expression Level	20	Microarray	Log2	11.0	0.0000027667229632296700000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA1396	beta-2 microglobulin	molecular	Mus musculus	male/female	2	15		Hippocampus	B2m (beta-2 microglobulin)		equation	Gene Expression Level	20	Microarray	Log2	6.0	0.0003268293362052810000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA1996	Beta-amyloid protein deposition increases	physiological	Homo sapiens	male/female	30	89	Beta-amyloid protein deposition increases linearly with age. The age gradient for amyloid deposition varies as a function of region; the precuneus, temporal cortex, and anterior and posterior cingulate show the greatest increases with age, while less pronounced age-related increases are found in the dorsolateral prefrontal and orbital-frontal, parietal, and occipital cortices.	Brain	APP (amyloid beta (A4) precursor protein)											DAA615	2897: Rodrigue et al. (2012) "β-Amyloid burden in healthy aging: regional distribution and cognitive consequences."  Neurology 78(6):387-395 (22302550)
DAA675	Beta-galactosidase expression increases in mesenchymal stem cells	physiological	Homo sapiens	male/female	-1	-1	The percentage of mesenchymal stem cells positive for beta-galactosidase was found to be significantly higher in individuals over the age of 55 vs. individuals under the age of 50 (4-fold average increase). No clear age-associated trend increase was evident in the data, but this might be explained by the small sample size (17 subjects).	Mesenchymal Stem Cell													2891: Zhou et al. (2008) "Age-related intrinsic changes in human bone-marrow-derived mesenchymal stem cells and their differentiation to osteoblasts."  Aging Cell 7(3):335-343 (18248663)
DAA605	Bladder cancer	pathological	Homo sapiens	male/female	18	85		Bladder				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA696	Blood cholesterol increases	physiological	Homo sapiens	male/female	-1	-1	Age-related increase in blood cholesterol promotes atherosclerosis pathogenesis.	Plasma												DAA694	2747: Chisholm, G. M. and D. Steinberg (2000) "The oxidative modification hypothesis of atherogenesis: An overview"  Free Rad. Biol. Med 28:1815-1826
DAA1210	blood CRP level increase	molecular	Homo sapiens	male/female	26	87	Blood C-reactive protein (CRP) level was significant higher in thirty-seven elderly subjects (median age, 87, range 70-95 years; minimum: 0.04 mg\\dL, median: 0.41 mg\\dL, maximum: 51.62 mg\\dL)  than in 22 young subjects (median age, 26, range 21-37 years; minimum: 0.08 mg\\dL, median: 0.21 mg\\dL, maximum: 0.70 mg\\dL).	Plasma	CRP (C-reactive protein, pentraxin-related)												2871: Ogawa et al. (2008) "The association of elevated reactive oxygen species levels from neutrophils with low-grade inflammation in the elderly."  Immun Ageing 5:13 (18950479)
DAA1060	Blood flow to liver decreases	physiological	Homo sapiens	male/female	-1	-1	Katzung et al. state that older adults (aged 60-80 years) have 55-60% the hepatic blood flow rate compared to young adults (aged 20-30). This may play a large part in the age-associated changes in the clearance of liver-metabolized drugs.	Liver												DAA1061	2699: Katzung et al. (2009) "Chapter 60. Special Aspects of Geriatric Pharmacology"  in Basic and Clinical Pharmacology (http://basic-clinical-pharmacology.net/chapter%2060_%20special%20aspects%20of%20geriatric%20pharmacology.htm)
DAA1211	blood HSP70 level increase	molecular	Homo sapiens	male/female	26	87	Blood 70 kilodalton heat shock (HSP70) level was significant higher in thirty-seven elderly subjects (median age, 87, range 70-95 years; minimum: 0.0 pg\\mL, median: 36.2 pg\\mL, maximum: 166 pg\\mL)  than in 22 young subjects (median age, 26, range 21-37 years; minimum: 0.0 pg\\mL, median: 16.8 pg\\mL, maximum: 47.0 pg\\mL).	Plasma													2871: Ogawa et al. (2008) "The association of elevated reactive oxygen species levels from neutrophils with low-grade inflammation in the elderly."  Immun Ageing 5:13 (18950479)
DAA1209	Blood IL6 level increase	physiological	Homo sapiens	male/female	26	87	Blood interleukin 6 (IL6) level was significant higher in thirty-seven elderly subjects (median age, 87, range 70-95 years; minimum: 0.48 pg\\mL, median: 1.61 pg\\mL, maximum: 12.68 pg\\mL)  than in 22 young subjects (median age, 26, range 21-37 years; minimum: 0.24 pg\\mL, median: 0.84 pg\\mL, maximum: 2.31 pg\\mL).	Plasma	IL6 (interleukin 6 (interferon, beta 2))											DAA968	2871: Ogawa et al. (2008) "The association of elevated reactive oxygen species levels from neutrophils with low-grade inflammation in the elderly."  Immun Ageing 5:13 (18950479)|717: Ershler and Keller (2000) "Age-associated increased interleukin-6 gene expression, late-life diseases, and frailty."  Annu. Rev. Med. 51:245-270 (10774463)
DAA2017	Blood sugar changes	physiological	Homo sapiens	male	20	90	Venous blood sugar levels are slightly increased in older subjects. The fasting arterial blood sugar level is apparently unaffected by age in males.	Plasma													2811: SHOCK (1956) "Some physiological aspects of aging in man."  Bull N Y Acad Med 32(4):268-283 (13304552)
DAA1208	Blood TNF-alpha level increase	physiological	Homo sapiens	male/female	26	87	Blood tumor necrosis factor alpha (TNF-alpha) level was significant higher in thirty-seven elderly subjects (median age, 87, range 70-95 years; minimum: 0.20 pg\\mL, median: 0.91 pg\\mL, maximum: 3.38 pg\\mL)  than in 22 young subjects (median age, 26, range 21-37 years; minimum: 0.11 pg\\mL, median: 0.52 pg\\mL, maximum: 1.69 pg\\mL).	Plasma	TNF (tumor necrosis factor)											DAA968	2871: Ogawa et al. (2008) "The association of elevated reactive oxygen species levels from neutrophils with low-grade inflammation in the elderly."  Immun Ageing 5:13 (18950479)
DAA2018	Blood volume per unit of body weight unchanged	physiological	Homo sapiens	male	20	90	Estimates of blood volume, using the Evans-blue dye technique, were made in 60 subjects. Elderly individuals, who are free from any clinical signs of fluid accumulation or edema, have approximately the same blood volume per unit of body weight as the young subjects studied.	Blood													2811: SHOCK (1956) "Some physiological aspects of aging in man."  Bull N Y Acad Med 32(4):268-283 (13304552)
DAA940	B naive cells' susceptibility to apoptosis decreases	physiological	Homo sapiens	male/female	-1	-1	The susceptibility to apoptosis of B naive cells decreases in aged individuals.	Memory B Cell													2718: Weiskopf et al. (2009) "The aging of the immune system."  Transpl. Int. 22(11):1041-1050 (19624493)|2983: Chong et al. (2005) "CD27(+) (memory) B cell decrease and apoptosis-resistant CD27(-) (naive) B cell increase in aged humans: implications for age-related peripheral B cell developmental disturbances."  Int. Immunol. 17(4):383-390 (15724062)
DAA1058	Body fat increases	physiological	Homo sapiens	male/female	-1	-1	Fat as a percentage of body weight increases with age. There are progressive trends toward increasing upper and central body fat deposition with age with a postmenopausal acceleration of these trends in women.	Whole Body												DAA2043	2792: J.V.G.A. Durnin, J. Womersley (1973) "Body fat assessed from total body density  and its estimation from skinfold thickness : measurements on  481 men and women aged from 16 to 72 years"  Journal of Nutrition (http://journals.cambridge.org/download.php?file=%2FBJN%2FBJN32_01%2FS0007114574000614a.pdf&code=2ae91e414b714b0b28e851f47f408cbf)
DAA751	Body temperature circadian rhythm flattens	physiological	Homo sapiens	male/female	-1	-1	The amplitude of the body temperature circadian rhythm decreases with age.	Whole Body												DAA752	2685: Baehr et al. (2000) "Individual differences in the phase and amplitude of the human circadian temperature rhythm: with an emphasis on morningness-eveningness."  J Sleep Res 9(2):117-127 (10849238)
DAA1205	Body temperature decreases with age	physiological	Homo sapiens	male/female	20	98	Mean body temperature (measured orally) decreases slightly with age (0.3 degrees F between youngest and oldest groups) in both females and males.	Whole Body													2766: Waalen and Buxbaum (2011) "Is older colder or colder older? The association of age with body temperature in 18,630 individuals."  J. Gerontol. A Biol. Sci. Med. Sci. 66(5):487-492 (21324956)
DAA1934	Body weight declines	physiological	Mus musculus	male/female	2	-1	In C57BL/6 mice, body weight increases until 15-20 months, and after 24 months decreases.	Whole Body													2689: Fahlström et al. (2011) "Behavioral changes in aging female C57BL/6 mice."  Neurobiol. Aging 32(10):1868-1880 (20005598)
